List ,Headword ,Related forms,Total frequency
1k,arrange,"arrange (2232), arranged (4083), arrangement (3234), arrangements (5726), arranger (47), arrangers (17), arranges (112), arranging (838), prearrange (0), prearranged (37), prearranges (0), prearranging (0), rearrange (132), rearranged (160), rearrangement (151), rearrangements (41), rearranges (9), rearranging (108)",16927
1k,arrive,"arrive (2837), arrival (3357), arrivals (363), arrived (8430), arrives (881), arriving (1530)",17398
1k,art,"art (15758), artist (4053), artistic (1544), artistically (89), artistries (1), artistry (93), artists (3853), arts (5421), arty (157)",30969
1k,as,as (655510),655510
1k,ashamed,"ashamed (1037), ashamedly (6), unashamed (74), unashamedly (108)",1225
1k,ask,"ask (18654), aske (16), asked (31277), asking (6237), asks (1950), unasked (36)",58170
1k,at,at (524402),524402
1k,aunt,"aunt (2842), aunthood (0), auntie (644), aunties (28), aunts (245), aunty (259)",4018
1k,autumn,"autumn (3909), autumnal (71), autumns (4)",3984
1k,aware,"aware (10521), awareness (3677), unaware (1133), unawares (106)",15437
1k,away,"away (48290), aways (50)",48340
1k,awful,"awful (3142), awfully (378), awfulness (39)",3559
1k,baby,"baby (8859), babby (26), babies (2387), babyish (30), babyhood (23)",11325
1k,back,"back (100290), backed (3150), backer (79), backers (175), backing (2008), backs (1567), backward (678), backwardness (83), backwardnesses (0), backwards (1749)",109779
1k,bad,"bad (15160), baddie (34), baddies (68), baddy (16), badly (4272), badness (30)",19580
1k,bag,"bag (5492), bagful (13), bagfuls (2), baggage (472), bagged (107), bagging (56), bags (2234)",8376
1k,ball,"ball (7852), balled (41), balling (23), balls (1558)",9474
1k,bank,"bank (17922), banked (180), banker (570), bankers (872), banking (2190), banks (7016)",28750
1k,bar,"bar (8263), barred (627), barring (173), bars (2396), unbarred (11)",11470
1k,base,"base (9458), based (27033), baseless (36), baser (34), bases (1628), basest (6), basing (181)",38376
1k,basic,"basic (11066), basically (3071), basics (413)",14550
1k,bath,"bath (3978), baths (700)",4678
1k,be,"be (652522), ain (3628), am (28780), are (458447), aren (6680), been (260393), beens (34), bein (64), being (88530), beings (1740), innit (2023), is (974447), isn (17528), m (97122), re (92507), s (842997), tis (423), twas (102), was (863924), wasn (19649), were (308376), weren (5403), wert (15), wuz (25)",4725359
1k,beach,"beach (3758), beached (92), beaches (959), beaching (11)",4820
1k,bear,"bear (5667), bearable (116), bearably (0), bearer (319), bearers (217), bearing (3160), bearings (382), bears (1357), bore (1509), borne (1291), unbearable (338), unbearably (103)",14459
1k,beat,"beat (5737), beaten (2323), beater (71), beaters (56), beating (1900), beatings (101), beats (603), unbeatable (109), unbeaten (536)",11436
1k,beauty,"beauty (4116), beauteous (23), beautician (31), beauticians (3), beauties (191), beautification (7), beautified (8), beautifies (0), beautiful (8408), beautifully (1233), beautify (13)",14033
1k,because,"because (100657), cos (16759), coz (28)",117444
1k,become,"become (29759), became (21778), becomes (7647), becoming (7045)",66229
1k,bed,"bed (15426), bedded (234), bedding (435), beds (2281)",18376
1k,before,before (85183),85183
1k,begin,"begin (7320), began (22496), beginner (334), beginners (402), beginning (11949), beginnings (711), begins (3232), begun (4074)",50518
1k,behind,"behind (22552), behinds (13)",22565
1k,believe,"believe (20547), believable (94), believed (7989), believer (319), believers (317), believes (3918), believing (1371), unbelievable (532), unbelievably (165), unbeliever (35), unbelievers (27), unbelieving (38), unbelievingly (12)",35364
1k,below,below (14209),14209
1k,beneath,beneath (4779),4779
1k,beside,"beside (5384), besides (2463)",7847
1k,best,best (36106),36106
1k,bet,"bet (2691), bets (270), betting (505)",3466
1k,better,"better (35155), bettered (60), bettering (17), betterment (73), betterments (0), betters (56)",35361
1k,between,"between (90781), betweens (25)",90806
1k,beyond,beyond (11375),11375
1k,big,"big (25414), bigger (3506), biggest (4670), biggish (41), bigness (9), biggy (3), biggie (15), biggies (5)",33663
1k,bill,"bill (13658), billed (274), billing (264), bills (3023)",17219
1k,billion,"billion (5042), billions (322), billionth (6), billionths (5)",5375
1k,bird,"bird (4250), birdie (192), birdied (44), birdies (174), birdlike (9), birds (5970), birdy (9)",10648
1k,birth,"birth (5317), birthed (3), birthing (26), births (733), rebirth (168), rebirths (5)",6252
1k,bit,"bit (27408), bits (3322), bitty (30), bitsy (6)",30766
1k,black,"black (25234), blacked (114), blacken (38), blackened (282), blackening (29), blackens (4), blacker (87), blackest (56), blacking (48), blackish (52), blackly (19), blackness (369), blacks (1426)",27758
1k,blood,"blood (10481), blooded (350), bloodied (99), bloodier (7), bloodies (0), bloodiest (37), bloodiness (3), bloodless (96), bloodlessly (2), bloodlessness (1), bloods (38), bloody (6904), bloodying (3)",18021
1k,blow,"blow (3334), blew (1254), blowed (18), blower (87), blowers (43), blowing (1038), blown (1453), blows (654)",7881
1k,blue,"blue (11325), blueness (39), bluer (15), blues (1282), bluest (12), bluey (29), bluish (84)",12786
1k,board,"board (16420), boards (2864)",19284
1k,boat,"boat (5574), boated (6), boating (143), boats (2072)",7795
1k,body,"body (25058), bodied (380), bodies (6775), bodily (924)",33137
1k,bone,"bone (2645), boned (147), boneless (48), bones (2253), boney (22), bonier (0), boniest (0), boniness (2), boning (14), bony (308)",5439
1k,book,"book (25105), bookish (46), booklet (1001), booklets (235), books (13056)",39443
1k,boring,"boring (1674), bored (1493), boredom (566), bores (89), boringly (23)",3845
1k,born,"born (9252), reborn (115), unborn (214)",9581
1k,both,both (67464),67464
1k,bother,"bother (2326), bothered (1497), bothering (356), bothers (117), bothersome (18), bovver (25)",4339
1k,bottle,"bottle (4164), bottled (294), bottles (1798), bottling (104), unbottled (0)",6360
1k,bottom,"bottom (7648), bottomed (124), bottoming (13), bottomless (96), bottoms (331)",8212
1k,box,"box (9409), boxes (2739)",12148
1k,boy,"boy (13100), boys (7898), boyhood (145), boyish (164), boyishly (16), boyishness (3)",21326
1k,bread,"bread (3747), breads (43)",3790
1k,break,"break (10144), breakable (20), breakage (198), breakages (27), breaker (169), breakers (186), breaking (3598), breaks (1772), broke (5141), broken (7021), brokenly (25), unbreakable (57), unbroken (284)",28642
1k,breakfast,"breakfast (4354), breakfasted (55), breakfasting (24), breakfasts (128)",4561
1k,breath,"breath (4871), breathless (465), breathlessly (176), breathlessness (45), breaths (196), breathy (37)",5790
1k,bright,"bright (5477), brighten (155), brightened (146), brightening (87), brightens (36), brighter (547), brightest (257), brightly (775), brightness (397)",7877
1k,bring,"bring (15018), bringer (30), bringers (7), bringing (4787), brings (3176), brought (19657)",42675
1k,brother,"brother (8892), bro (45), bros (234), brotherhood (287), brotherhoods (7), brotherly (81), brothers (3588)",13134
1k,brown,"brown (9030), browned (107), browner (32), brownest (0), browning (489), brownish (100), browns (176), browny (24)",9958
1k,build,"build (7736), builder (1003), builders (1039), building (19449), buildings (6595), builds (575), built (14270), prebuilt (1), rebuild (474), rebuilding (563), rebuilds (16), rebuilt (739), unbuilt (12)",52472
1k,burn,"burn (1766), burnable (1), burned (1471), burner (167), burners (106), burning (2883), burnings (17), burns (1339), burnt (1349), unburnable (0)",9099
1k,bus,"bus (5550), buses (1460), bussed (19), busses (10), bussing (14), busing (4)",7057
1k,business,"business (35518), businesses (3657), businesslike (172), unbusinesslike (8)",39355
1k,busy,"busy (4906), busied (116), busier (99), busies (8), busiest (225), busily (240), busying (33), busyness (30)",5657
1k,but,"but (446897), buts (47)",446944
1k,buy,"buy (12886), bought (8945), buyer (2747), buyers (1687), buying (4607), buys (727)",31599
1k,by,"by (516058), bys (23)",516081
1k,cake,"cake (2805), cakes (977)",3782
1k,call,"call (19214), called (35116), caller (355), callers (233), calling (4334), callin (16), calls (6126), uncalled (39)",65433
1k,camp,"camp (3586), camped (169), camper (47), campers (56), camping (438), camps (1144)",5440
1k,can,"can (241552), cannot (21478)",263030
1k,car,"car (27465), cars (7352)",34817
1k,card,"card (5868), carding (34), cards (3862)",9764
1k,care,"care (24927), cared (1279), careful (5054), carefully (6868), carefulness (16), careless (548), carelessly (205), carelessness (174), carer (495), carers (1202), cares (647), caring (2079), uncared (15), uncaring (120)",43629
1k,carry,"carry (10050), carried (13476), carrier (1358), carriers (663), carries (1797), carrying (5898)",33242
1k,case,"case (45714), cases (18188)",63902
1k,cat,"cat (4096), catlike (11), cats (1581)",5688
1k,catch,"catch (5046), catcher (96), catchers (51), catches (659), catching (1476), catchy (72), caught (8256), uncaught (0)",15656
1k,cause,"cause (13103), causation (294), causative (72), caused (9400), causes (4571), causing (3248)",30688
1k,centre,"centre (23871), center (514), centered (44), centering (17), centerist (0), centerists (0), centers (45), central (19358), centralisation (189), centralise (45), centralised (421), centralises (2), centralising (56), centralism (58), centralist (37), centralists (1), centralities (2), centrality (175), centralization (162), centralize (21), centralized (369), centralizes (1), centralizing (33), centrally (692), centred (1859), centredness (35), centres (5341), centric (26), centring (112), centrist (119), centrists (20)",53625
1k,certain,"certain (21818), cert (196), certainly (18125), certainties (147), certainty (1358), uncertain (1960), uncertainly (256), uncertainties (428), uncertainty (2169)",46457
1k,chair,"chair (7605), chairs (1974)",9579
1k,chance,"chance (12874), chanced (90), chances (2998), chancing (15), mischance (13)",15990
1k,change,"change (31759), changeable (72), changed (11185), changer (59), changers (26), changes (19076), changing (6498), unchangeable (31), unchangeably (0), unchanged (1085), unchanging (170)",69961
1k,charge,"charge (12028), chargeable (233), charged (4806), chargee (55), chargees (17), charger (98), chargers (42), charges (6201), charging (960), uncharged (21)",24461
1k,cheap,"cheap (3861), cheapen (18), cheapened (11), cheapening (16), cheapens (3), cheaper (2307), cheapest (552), cheaply (456), cheapness (74)",7298
1k,check,"check (7530), checked (2537), checker (67), checkers (26), checking (1744), checks (1199), unchecked (150)",13253
1k,chicken,"chicken (2113), chick (306), chickened (22), chickening (7), chickens (473), chicks (339)",3260
1k,child,"child (24517), childhood (2771), childhoods (25), childish (448), childishly (45), childishness (32), childless (218), childlessness (32), childlike (126), children (45837), childrens (104)",74155
1k,chip,"chip (2073), chipped (308), chipping (258), chippings (57), chips (1835)",4531
1k,choice,"choice (11988), choices (1744), choicest (27)",13759
1k,choose,"choose (6717), chooses (601), choosing (1834), choosy (49), chose (2731), chosen (5894), unchosen (3)",17829
1k,christmas,"christmas (8744), christmases (55), christmassy (27)",8826
1k,church,"church (20461), churches (3508)",23969
1k,city,"city (23670), cities (4345)",28015
1k,class,"class (23396), classed (337), classes (6054), classier (14), classiest (13), classiness (2), classing (13), classless (158), classlessness (20), classy (161), subclass (52), subclasses (41)",30261
1k,clean,"clean (6805), cleaned (1082), cleaner (1076), cleaners (446), cleanest (60), cleaning (2479), cleanliness (295), cleanly (137), cleanness (16), cleans (111), unclean (145), uncleanliness (3)",12655
1k,clear,"clear (25587), clearance (880), clearances (94), cleared (2580), clearer (882), clearest (262), clearing (1713), clearings (46), clearly (15041), clearness (20), clears (188), unclear (946)",48239
1k,climb,"climb (2206), climbed (2264), climber (322), climbers (592), climbing (2215), climbs (443), unclimbed (33)",8075
1k,clock,"clock (7412), clocked (215), clocker (1), clockers (2), clocking (86), clocks (485), oclock (0)",8201
1k,close,"close (21475), closely (5511), closeness (326), closer (4481), closest (1052)",32845
1k,closed,"closed (9656), closes (502), closing (2638), unclosed (2)",12798
1k,clothes,"clothes (7085), clothe (91), clothed (320), clothing (2143), unclothed (28), unclothing (1)",9668
1k,club,"club (16680), clubbed (58), clubber (6), clubbers (31), clubbing (51), clubs (3786)",20612
1k,coat,"coat (3467), coated (618), coating (367), coatings (256), coats (847)",5555
1k,coffee,"coffee (6629), coffees (86)",6715
1k,cold,"cold (12141), colder (319), coldest (107), coldish (0), coldly (530), coldness (217), colds (131)",13445
1k,collect,"collect (2767), collectable (56), collectables (14), collected (3477), collecting (1700), collection (7798), collections (1798), collective (2610), collectively (541), collectives (37), collectivism (122), collectivist (90), collectivists (5), collectivities (75), collectivity (61), collectivization (40), collector (1172), collectors (749), collects (280), uncollected (37)",23429
1k,college,"college (10241), colleges (2491), collegian (0), collegians (46)",12778
1k,colour,"colour (11840), color (116), coloration (124), colorations (1), colored (16), coloreds (0), colorful (6), colorfully (0), coloring (3), colorings (0), colorless (4), colors (24), colouration (38), colourations (1), coloured (3485), coloureds (30), colourful (1097), colourfully (29), colouring (655), colourings (76), colourist (30), colourists (25), colourless (166), colours (4447)",22213
1k,come,"come (66869), came (44829), comer (212), comers (144), comes (15690), cometh (25), comin (98), coming (19712), comings (93)",147672
1k,comfort,"comfort (3261), comfortable (3865), comfortably (904), comforted (294), comforting (471), comfortingly (50), comforts (268), uncomfortable (1332), uncomfortably (403), uncomforted (4)",10852
1k,company,"company (39978), co (17032), companies (17760)",74770
1k,complete,"complete (12639), completed (5973), completely (8343), completeness (198), completes (230), completing (908), completion (2547), completions (61), incomplete (703), incompletely (32), incompleteness (41), uncompleted (39)",31714
1k,computer,"computer (14591), computable (3), computation (184), computational (328), computationally (45), computations (81), compute (118), computed (306), computerisation (106), computerise (32), computerised (578), computerises (1), computerising (14), computerization (44), computerize (4), computerized (165), computerizes (0), computerizing (1), computers (3611), computes (25), computing (2055)",22292
1k,concern,"concern (10275), concerned (16063), concerning (3354), concerns (3796), unconcern (29), unconcerned (167), unconcernedly (15)",33699
1k,consider,"consider (11595), consideration (5422), considerations (2351), considered (13366), considering (4240), consideringly (23), considers (1237), reconsider (387), reconsideration (95), reconsiderations (3), reconsidered (104), reconsidering (48), reconsiders (7), unconsidered (35)",38913
1k,continue,"continue (11641), continual (589), continually (1305), continuance (174), continuation (802), continuations (48), continued (12317), continues (3965), continuing (5265), continuities (94), continuity (1272), continuous (2675), continuously (885)",41032
1k,control,"control (29367), controllable (109), controlled (5241), controller (937), controllers (312), controlling (1939), controls (4246), uncontrollable (212), uncontrollably (117), uncontrolled (286)",42766
1k,conversation,"conversation (5189), conversant (78), conversational (405), conversationalist (16), conversationalists (15), conversationally (61), conversations (1014), converse (269), conversed (36), converses (3), conversing (50)",7136
1k,cook,"cook (3891), cooked (1337), cooker (555), cookeries (0), cookers (127), cookery (484), cooking (2639), cooks (340), overcooked (19), overcooking (5), uncooked (51)",9448
1k,cool,"cool (3877), coolant (41), coolants (16), cooled (427), cooler (363), coolers (24), coolest (35), cooling (779), coolly (393), coolness (135), cools (88), uncool (15), uncooled (2)",6195
1k,corner,"corner (7181), cornered (219), cornering (39), corners (1510)",8949
1k,cost,"cost (22070), costed (112), costing (1157), costings (106), costless (29), costlier (14), costliest (27), costly (1126), costliness (11), costs (15193)",39845
1k,could,"could (144007), couldn (16186), coulda (4)",160197
1k,count,"count (4192), countable (15), counted (1248), counting (1182), countless (619), counts (1855), recount (94), recounted (196), recounting (91), recounts (119), uncountable (10), uncounted (16)",9637
1k,country,"country (32036), countries (16585), countrified (12), countrify (0)",48633
1k,couple,"couple (11926), coupled (1314), couples (1553), coupling (363), couplings (40), uncoupled (23)",15219
1k,course,"course (49397), courses (8049)",57446
1k,court,"court (28734), courted (100), courting (230), courts (5931)",34995
1k,cover,"cover (11251), coverage (2216), covered (8468), covering (3313), coverings (99), coverlet (52), coverlets (1), covers (2798), uncover (246), uncovered (649), uncovering (111), uncovers (40)",29244
1k,crazy,"crazy (1740), crazier (18), crazies (16), craziest (19), crazily (63), craziness (30)",1886
1k,crime,"crime (7063), crimes (1733)",8796
1k,cross,"cross (11046), crossed (3112), crosses (693), crossing (2409), crossings (215), crosslike (0), crossly (243), crossness (3), uncrossed (37), crosswise (9), crossways (12)",17779
1k,cry,"cry (3131), cried (2671), crier (63), criers (10), cries (879), crying (1879)",8633
1k,cup,"cup (12255), cuplike (0), cupful (20), cupped (184), cupping (80), cups (1295)",13834
1k,cut,"cut (18610), cuts (4153), cutter (392), cutters (249), cutting (4255), cuttings (506), uncut (74)",28239
1k,dad,"dad (6583), daddies (23), daddy (2129), dads (109)",8844
1k,dance,"dance (4509), danceable (9), danced (771), dancer (587), dancers (829), dances (690), dancing (2493)",9888
1k,danger,"danger (5846), dangerous (5647), dangerously (576), dangers (1609), endanger (180), endangered (539), endangering (106), endangerment (27), endangerments (0), endangers (25)",14555
1k,dark,"dark (13321), darken (100), darkened (536), darkener (0), darkeners (0), darkening (213), darkens (17), darker (711), darkest (167), darkie (11), darkies (1), darkly (261), darkness (3219), darky (4)",18561
1k,darling,"darling (2418), darlin (37), darlings (63)",2518
1k,date,"date (18017), datable (59), dated (1774), dates (2704), dating (1394), undated (72)",24020
1k,daughter,"daughter (9515), daughters (2064)",11579
1k,day,"day (66764), dailies (112), daily (7544), daylight (970), daylights (36), days (32215), midday (512)",108153
1k,dead,"dead (12243), deaden (16), deadened (22), deadening (42), deadens (4), deadlier (8), deadliest (28), deadly (799), undead (30), deader (4), deadest (6)",13202
1k,deal,"deal (17016), dealer (1833), dealers (1775), dealership (47), dealerships (29), dealing (5822), dealings (881), deals (2459), dealt (3450), undealt (3)",33315
1k,dear,"dear (8522), dearer (125), dearest (328), dearie (37), dearly (347), dears (71)",9430
1k,death,"death (20324), deathless (16), deathlessly (0), deathlike (4), deathly (93), deaths (2424)",22861
1k,decide,"decide (6576), decided (14616), decidedly (421), decider (101), deciders (1), decides (884), deciding (1966), undecided (206)",24771
1k,deep,"deep (11076), deepen (171), deepened (311), deepening (309), deepens (74), deeper (1967), deepest (480), deeply (3627), depth (3445), depths (1067)",22527
1k,definite,"definite (1559), definitely (3056), definiteness (20), indefinite (316), indefinitely (501)",5452
1k,degree,"degree (9998), deg (65), degrees (3064)",13127
1k,delicious,"delicious (1098), deliciously (109), deliciousness (6)",1213
1k,depend,"depend (3447), dependability (40), dependable (133), dependably (5), dependant (150), dependants (274), depended (1194), dependent (4181), dependents (113), depending (2715), depends (4930), undependable (5)",17187
1k,die,"die (5471), died (13630), dies (1092), dying (2734), undying (58)",22985
1k,difference,"difference (11200), differences (7735)",18935
1k,different,"different (47672), differently (1520)",49192
1k,difficult,"difficult (21648), difficulties (6773), difficulty (6232)",34653
1k,dig,"dig (1063), digger (166), diggers (102), digging (937), digs (224), dug (1128), undug (3)",3623
1k,dinner,"dinner (6169), dinners (360)",6529
1k,dirty,"dirty (2704), dirt (1013), dirtier (44), dirtiest (45), dirtiness (15)",3821
1k,discover,"discover (3142), discovered (6226), discoverer (62), discoverers (19), discoveries (669), discovering (690), discovers (297), discovery (2816), rediscover (73), rediscovered (178), rediscoveries (4), rediscovering (54), rediscovers (9), rediscovery (64), undiscovered (102)",14405
1k,do,"do (177309), did (92063), didn (43893), doer (34), doers (52), does (50189), doesn (17143), doin (155), doing (27921), doings (98), don (95588), done (34359), redid (1), redo (17), redoes (0), redoing (13), redone (17), undid (118), undo (310), undoes (17), undoing (145), undone (264), doable (7)",539713
1k,doctor,"doctor (10226), doc (456), docs (26), doctored (54), doctoring (71), doctors (4459), dr (12269)",27561
1k,dog,"dog (8375), doggie (58), doggies (11), doggy (120), dogs (4402)",12966
1k,door,"door (24033), doors (4636), indoor (898), indoors (622), outdoor (1057), outdoors (339)",31585
1k,double,"double (9304), doubled (1294), doubles (485), doubling (535), doubly (351), redouble (29), redoubled (36), redoubles (3), redoubling (9)",12046
1k,doubt,"doubt (11990), doubted (653), doubter (13), doubters (67), doubtful (1216), doubtfully (197), doubting (243), doubtless (844), doubts (2041), undoubtably (18), undoubted (280), undoubtedly (2343)",19905
1k,down,"down (94540), downed (110), downing (762), downings (2), downs (730), downward (620), downwards (727)",97491
1k,draw,"draw (7273), drawing (5935), drawings (2302), drawn (7668), draws (1255), drew (4804), redraw (24), redrawing (39), redrawn (40), redraws (5), redrew (6), undrawn (11)",29362
1k,dream,"dream (4627), dreamed (737), dreamer (127), dreamers (62), dreamily (91), dreaming (813), dreamless (28), dreamlessly (5), dreamlike (33), dreams (2465), dreamt (274), dreamy (142), undreamed (36), undreamt (17)",9457
1k,dress,"dress (5013), dressed (3691), dresses (766), dressing (2441), dressings (155), undress (145), undressed (199), undresses (8), undressing (53), dressy (19)",12490
1k,drink,"drink (7922), drank (1317), drinkable (36), drinker (133), drinkers (339), drinking (3462), drinks (2260), drunk (2204), drunks (119), undrunk (2)",17794
1k,drive,"drive (9145), driven (3564), driver (5435), drivers (2635), drives (1339), driving (6506), drove (3426)",32050
1k,drop,"drop (5451), droplet (37), droplets (159), dropped (5570), dropper (29), droppers (9), dropping (1339), droppings (193), drops (1365)",14152
1k,drug,"drug (5487), drugged (159), druggie (1), druggies (7), drugging (26), drugs (5375), druggist (23), druggists (7)",11085
1k,dry,"dry (6744), dried (1950), drier (200), driers (20), dries (202), driest (38), drily (389), dryer (194), dryers (42), drying (865), dryly (77), dryness (124)",10845
1k,during,during (43538),43538
1k,each,each (60495),60495
1k,ear,"ear (3004), eared (196), earful (14), earless (4), ears (2840)",6058
1k,early,"early (33795), earlier (16393), earliest (1957), earliness (3)",52148
1k,earth,"earth (9676), earthed (53), earthen (49), earthly (275), earths (36), earthy (135), earthiness (13), unearthliness (0), unearthly (67), earthling (8), earthlings (14)",10326
1k,east,"east (20740), easterlies (6), easterly (116), eastward (130), eastwards (266)",21258
1k,easy,"easy (14820), easier (5824), easiest (774), easily (9679), easiness (11)",31108
1k,eat,"eat (7320), ate (1644), eaten (1719), eater (173), eaters (182), eating (4406), eats (391), uneaten (41), eatable (12)",15888
1k,edge,"edge (7535), edged (989), edger (5), edges (1710), edgewise (4), edgeways (19), edging (299)",10561
1k,educate,"educate (383), educated (2244), educates (18), educating (243), education (26052), educational (5877), educationalist (34), educationalists (134), educationally (123), educationist (28), educationists (53), educations (14), educative (72), educator (56), educators (250), miseducated (1), uneducated (118)",35700
1k,egg,"egg (2702), eggs (3664)",6366
1k,eight,"eight (19227), eighteen (3029), eighteenth (2852), eighteenths (0), eighth (1379), eighths (30), eighties (932), eightieth (33), eightieths (7), eights (100), eighty (4453)",32042
1k,either,either (27190),27190
1k,eleven,"eleven (3886), elevens (16), eleventh (738), elevenths (1)",4641
1k,else,"else (19949), elsewhere (5608)",25557
1k,employ,"employ (1705), employability (26), employable (19), employed (5546), employee (3242), employees (5839), employer (3120), employers (4230), employing (983), employment (10827), employments (43), employs (635), unemployable (37), unemployed (2766), unemployment (6464)",45482
1k,empty,"empty (5648), emptied (507), empties (80), emptiness (309), emptying (397), emptily (16)",6957
1k,end,"end (50723), ended (7472), ending (2513), endings (190), endless (1535), endlessly (375), ends (4473), unended (1), unending (85)",67367
1k,engine,"engine (5014), engined (221), engines (1886)",7121
1k,enjoy,"enjoy (6439), enjoyable (916), enjoyed (4944), enjoying (2080), enjoyment (1020), enjoys (755), unenjoyable (5)",16159
1k,enough,enough (31218),31218
1k,enter,"enter (5328), entered (5802), entering (2245), enters (851), unentered (0)",14226
1k,especially,"especially (17379), especial (129)",17508
1k,even,"even (87875), evens (38)",87913
1k,evening,"evening (13280), evenings (1410), evenin (22)",14712
1k,ever,ever (27923),27923
1k,every,"every (39189), everybody (5887), everyday (2064), everydayness (1), everyone (12791), everything (17768), everytime (22), everywhere (3098)",80820
1k,exact,"exact (2237), exactly (10311), exactness (24), inexact (32), inexactness (1)",12605
1k,except,"except (10144), cept (23), cepting (2), excepted (118), excepting (88)",10375
1k,excite,"excite (210), excitable (134), excitably (2), excitation (360), excitations (10), excited (1866), excitedly (277), excitement (2509), excitements (56), exciter (5), exciters (0), excites (72), exciting (3268), unexciting (49), overexcited (11), excitability (19)",8848
1k,excuse,"excuse (2948), excusable (28), excused (290), excuses (591), excusing (47), inexcusable (42)",3946
1k,expect,"expect (10280), expectancies (26), expectancy (604), expectant (166), expectantly (124), expectation (1289), expectations (3281), expected (16512), expectedly (2), expecting (2062), expects (1405), unexpected (2025), unexpectedly (878), unexpectedness (26)",38680
1k,expensive,"expensive (5786), expensively (101), inexpensive (328), inexpensively (13), inexpensiveness (2)",6230
1k,experience,"experience (21192), experienced (5521), experiences (3485), experiencing (835), experiential (140), experientially (11), inexperience (155), inexperienced (490)",31829
